Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2014-07-25,UKX,510,0.0000152852,0.0000127162,510,0.0000151804,0.0000155208,102,0.0000119234,0.0000115904,51,0.0000104393,0.0000102009,34,0.0000113643,0.0000097563,17,0.0038962056,-11.0955042544,6801.7980000000,6786.2980000000,6831.2980000000,6779.7980000000,-0.0043667700,-0.0020853604
2014-07-28,UKX,510,0.0000282334,0.0000216235,510,0.0000380704,0.0000317735,102,0.0000334863,0.0000246788,51,0.0000198713,0.0000193060,34,0.0000288169,0.0000349061,17,0.0061701254,-10.1760722235,6810.6970000000,6788.4970000000,6810.6970000000,6759.2970000000,0.0003239828,0.0035888851
2014-07-29,UKX,509,0.0000234521,0.0000231870,509,0.0000245032,0.0000245682,102,0.0000223656,0.0000162101,51,0.0000265012,0.0000266557,34,0.0000178859,0.0000142246,17,0.0049500716,-10.6167064722,6796.8970000000,6808.4980000000,6835.2980000000,6782.7970000000,0.0029419757,0.0012366224
2014-07-30,UKX,510,0.0000313450,0.0000271363,510,0.0000239902,0.0000199945,102,0.0000187430,0.0000181480,51,0.0000190672,0.0000173294,34,0.0000114437,0.0000150095,17,0.0048979841,-10.6378631210,6809.1970000000,6775.4970000000,6816.7980000000,6756.7970000000,-0.0048588158,0.0001026605
2014-07-31,UKX,445,0.0000308003,0.0000300964,445,0.0000293191,0.0000304925,89,0.0000269630,0.0000211597,45,0.0000238712,0.0000164722,30,0.0000212784,0.0000151528,15,0.0054147092,-10.4372721887,6787.7970000000,6749.7970000000,6796.9980000000,6741.9970000000,-0.0038002917,0.0018137192
2014-08-01,UKX,253,0.0001423378,0.0000430718,253,0.0001352084,0.0000398738,53,0.0001218550,0.0000525010,27,0.0001262309,0.0000301100,19,0.0001275005,0.0000336354,11,0.0116279146,-8.9086932851,6725.6470000000,6672.7970000000,6728.7550000000,6634.2140000000,-0.0114733180,-0.0035843013
2014-08-04,UKX,510,0.0000342019,0.0000319606,510,0.0000309128,0.0000235368,102,0.0000324733,0.0000358362,51,0.0000351381,0.0000336227,34,0.0000225644,0.0000237462,17,0.0055599288,-10.3843399433,6695.7980000000,6683.2980000000,6716.2980000000,6668.9970000000,0.0015724659,0.0034410531
2014-08-05,UKX,510,0.0000253983,0.0000231064,510,0.0000181388,0.0000168074,102,0.0000184030,0.0000146144,51,0.0000143988,0.0000146382,34,0.0000120673,0.0000131805,17,0.0042589707,-10.9174555121,6692.5980000000,6680.2970000000,6713.4980000000,6669.2970000000,-0.0004491306,0.0013905613
2014-08-06,UKX,510,0.0000426949,0.0000420731,510,0.0000421884,0.0000397578,102,0.0000547656,0.0000648379,51,0.0000425711,0.0000403648,34,0.0000448670,0.0000577648,17,0.0064952590,-10.0733655178,6643.7980000000,6627.9980000000,6651.4980000000,6586.2970000000,-0.0078596498,-0.0054786597
2014-08-07,UKX,510,0.0000403137,0.0000427503,510,0.0000331222,0.0000329253,102,0.0000315491,0.0000268772,51,0.0000313154,0.0000231170,34,0.0000299170,0.0000307455,17,0.0057551883,-10.3153070407,6632.0970000000,6595.2980000000,6648.7980000000,6588.7970000000,-0.0049458269,0.0006182460
