Date,Symbol,NBars1min,RV_1min,BPV_1min,NBars_1min,RV_5min,BPV_5min,NBars_5min,RV_10min,BPV_10min,NBars_10min,RV_15min,BPV_15min,NBars_15min,RV_30min,BPV_30min,NBars_30min,RVol_5min,LogRV_5min,Open_sess,Close_sess,High_sess,Low_sess,CloseToClose_LogRet,Overnight_LogRet
2020-12-11,DAX,510,0.0000671270,0.0000695810,510,0.0000676731,0.0000618803,102,0.0000813892,0.0000712899,51,0.0000810961,0.0000806024,34,0.0001141339,0.0001075627,17,0.0082263652,-9.6008220388,13267.2490000000,13111.5490000000,13267.5690000000,13006.0000000000,-0.0145396519,-0.0027345796
2020-12-14,DAX,510,0.0000318153,0.0000302265,510,0.0000318494,0.0000283018,102,0.0000290096,0.0000310333,51,0.0000233618,0.0000161938,34,0.0000274867,0.0000326341,17,0.0056435256,-10.3544925998,13218.7490000000,13240.5590000000,13294.5690000000,13189.0990000000,0.0097913253,0.0081427557
2020-12-15,DAX,510,0.0000284400,0.0000287952,510,0.0000300108,0.0000277513,102,0.0000307233,0.0000292295,51,0.0000215310,0.0000203249,34,0.0000280548,0.0000224954,17,0.0054782122,-10.4139529273,13227.2890000000,13374.5770000000,13376.2870000000,13196.5490000000,0.0100708960,-0.0010027261
2020-12-16,DAX,510,0.0000478815,0.0000404842,510,0.0000699329,0.0000527903,102,0.0000361679,0.0000246421,51,0.0000475583,0.0000314773,34,0.0000171547,0.0000176312,17,0.0083625903,-9.5679741043,13427.5990000000,13558.5490000000,13596.7790000000,13414.8990000000,0.0136616048,0.0039565496
2020-12-17,DAX,510,0.0000382705,0.0000308647,510,0.0000343344,0.0000297527,102,0.0000233061,0.0000230713,51,0.0000251390,0.0000222318,34,0.0000107260,0.0000112714,17,0.0058595546,-10.2793633796,13686.6990000000,13687.5890000000,13733.0690000000,13649.7490000000,0.0094722390,0.0094072144
2020-12-18,DAX,510,0.0000520441,0.0000481929,510,0.0000643169,0.0000539319,102,0.0000638559,0.0000497517,51,0.0000418896,0.0000337838,34,0.0000353390,0.0000403398,17,0.0080197846,-9.6516874341,13648.2690000000,13640.2590000000,13775.3990000000,13626.7230000000,-0.0034638693,-0.0028768094
2020-12-21,DAX,510,0.0002657998,0.0002333411,510,0.0002274695,0.0001851018,102,0.0002777485,0.0003001218,51,0.0002619869,0.0002686878,34,0.0002891128,0.0001930265,17,0.0150820917,-8.3884944394,13421.8970000000,13253.2990000000,13424.2790000000,13046.2790000000,-0.0287791379,-0.0161381628
2020-12-22,DAX,510,0.0000620073,0.0000572967,510,0.0000672884,0.0000720751,102,0.0000447141,0.0000448431,51,0.0000543997,0.0000432825,34,0.0000326888,0.0000275364,17,0.0082029519,-9.6065224121,13330.7590000000,13424.7890000000,13442.7990000000,13297.2890000000,0.0128564208,0.0058275692
2020-12-23,DAX,510,0.0000508799,0.0000531366,510,0.0000300043,0.0000260008,102,0.0000259996,0.0000204601,51,0.0000303848,0.0000237446,34,0.0000383578,0.0000345188,17,0.0054776217,-10.4141685197,13469.3990000000,13596.2890000000,13606.2570000000,13444.7790000000,0.0126939645,0.0033174484
2020-12-24,DAX,466,0.0000080286,0.0000067451,466,0.0000079896,0.0000064858,102,0.0000057528,0.0000058917,51,0.0000079081,0.0000073059,34,0.0000052375,0.0000057583,17,0.0028265874,-11.7373703094,13627.5690000000,13612.7890000000,13649.9970000000,13612.7590000000,0.0012128307,0.0022979854
