Date,Symbol,RV_1min,RS_pos_1min,RS_neg_1min,SignedJump_1min,BPV_1min,BPV_c_1min,MedRV_1min,RQ_1min,TQ_1min,RSkew_1min,RKurt_1min,NBars_1min,NZeroRet_1min,MaxAbsRet_1min,RV_5min,RS_pos_5min,RS_neg_5min,SignedJump_5min,BPV_5min,BPV_c_5min,MedRV_5min,RQ_5min,TQ_5min,RSkew_5min,RKurt_5min,NBars_5min,NZeroRet_5min,MaxAbsRet_5min,RV_ss5min,Jump_BPV_5min,Jump_MedRV_5min,ContVar_MedRV_5min,JumpShare_5min,RSV_Ratio_5min,RV_SE_5min,RV_RelSE_5min,NoiseRatio_1v5
2013-02-05,NKY,6.66508645141e-05,3.04730670236e-05,3.61777974905e-05,-5.70473046693e-06,5.96931143134e-05,5.98941012302e-05,5.62000048084e-05,6.10939973834e-09,5.18051998543e-09,-0.218431590967,4.12580048744,298,1,0.00165444504071,8.04750163909e-05,3.83061410827e-05,4.21688753082e-05,-3.86273422544e-06,6.4971138464e-05,6.60913305065e-05,6.17573331195e-05,8.2627507374e-09,3.53417644205e-09,-0.133232897646,3.82757543513,59,0,0.00358853300968,8.04750163909e-05,1.43836858844e-05,1.87176832714e-05,6.17573331195e-05,0.232589990171,0.523999586447,1.67359865361e-05,0.207964996923,0.828218091816
2013-02-06,NKY,6.94723833127e-05,4.97090518967e-05,1.97633314159e-05,2.99457204808e-05,4.54047849038e-05,4.55571499538e-05,3.62851254469e-05,5.62608304366e-08,3.52520548455e-09,3.34502289251,34.9705930205,299,1,0.00477141365951,5.52586273491e-05,4.05792065338e-05,1.46794208153e-05,2.58997857185e-05,4.79950433672e-05,4.88225441149e-05,4.64789416154e-05,2.90195563581e-09,1.88356816915e-09,0.839478567678,2.85109598329,59,0,0.00224663492168,5.52586273491e-05,6.43608323418e-06,8.77968573373e-06,4.64789416154e-05,0.158883529232,0.265649393036,9.91823459519e-06,0.179487531106,1.25722238581
2013-02-07,NKY,6.84359169126e-05,2.37812737222e-05,4.46546431904e-05,-2.08733694682e-05,4.67261711937e-05,4.68829704259e-05,4.61377086057e-05,1.08705321836e-08,2.00916328783e-09,-1.29971783334,6.96312000701,299,0,0.00242540384131,9.08008525461e-05,4.04594196167e-05,5.03414329294e-05,-9.88201331269e-06,6.82337320118e-05,6.94101756671e-05,6.23914224606e-05,1.23309915553e-08,4.24535981167e-09,-0.477561981056,4.48682780587,59,0,0.00435361610806,9.08008525461e-05,2.13906768789e-05,2.84094300855e-05,6.23914224606e-05,0.312876248283,0.554415861942,2.04450412995e-05,0.225163538956,0.753692448844
2013-02-08,NKY,7.30965797287e-05,3.1825761538e-05,4.12708181906e-05,-9.44505665257e-06,6.12348726133e-05,6.14417471829e-05,6.4918996128e-05,1.01228858726e-08,7.25562082429e-09,-0.434295380444,5.68370439677,297,0,0.00233200451953,8.37921310721e-05,3.14064097552e-05,5.23857213168e-05,-2.09793115616e-05,5.15931866046e-05,5.24827243047e-05,4.73330282715e-05,1.1450596713e-08,1.95967178523e-09,-0.778691471319,4.89263595025,59,0,0.00371488556814,8.37904186363e-05,3.13094067673e-05,3.64591028006e-05,4.73330282715e-05,0.435113683518,0.625186645173,1.97016705073e-05,0.235125545266,0.872356136471
2013-02-12,NKY,8.96225837125e-05,6.09708138271e-05,2.86517698854e-05,3.23190439417e-05,5.71345978707e-05,5.73276201608e-05,5.5630492708e-05,1.07990388021e-07,5.08233337954e-09,3.77832281201,40.3340132346,297,0,0.00568428022656,7.39681830062e-05,3.07011086625e-05,4.32670743437e-05,-1.25659656811e-05,7.40414476221e-05,7.53180243053e-05,6.44635008642e-05,4.95418814068e-09,5.71200923687e-09,-0.491579531919,2.71646334319,59,0,0.0027246568437,7.39681830062e-05,0,9.50468214207e-06,6.44635008642e-05,0.128496899015,0.584941694999,1.29591118924e-05,0.175198461903,1.21163695078
2013-02-13,NKY,5.72851577443e-05,2.52726680802e-05,3.20124896641e-05,-6.73982158385e-06,4.51763199277e-05,4.5328428749e-05,4.55141224948e-05,6.57047740915e-09,2.67774561814e-09,-0.444920814786,6.006672511,298,0,0.00223486848143,6.88599453504e-05,2.69155722452e-05,4.19443731051e-05,-1.50288008599e-05,5.35631390882e-05,5.44866414863e-05,4.39338861732e-05,6.69120672938e-09,3.1086523867e-09,-0.191070562948,4.23342972853,59,0,0.0035081814092,6.88599453504e-05,1.43733038641e-05,2.49260591772e-05,4.39338861732e-05,0.361981977336,0.609125855266,1.50605633061e-05,0.218712972099,0.83190826616
2013-02-14,NKY,6.7898163519e-05,3.41847152416e-05,3.37134482773e-05,4.71266964294e-07,5.7045943282e-05,5.72373726218e-05,5.61770716969e-05,7.230973599e-09,3.47578799644e-09,-0.117839957069,4.70545879757,299,0,0.00190436542216,7.11826375363e-05,3.79486385583e-05,3.3233998978e-05,4.71463958028e-06,6.62297670476e-05,6.73716595829e-05,6.61033804547e-05,5.65303598495e-09,3.83235035035e-09,0.0529121340043,3.34699337638,59,0,0.00326593447022,7.11826375363e-05,3.81097795342e-06,5.07925708158e-06,6.61033804547e-05,0.0713552806889,0.466883500363,1.3842988784e-05,0.19447142257,0.953858495119
2013-02-15,NKY,0.000108624575521,3.5793221746e-05,7.28313537746e-05,-3.70381320286e-05,6.38466336309e-05,6.40608840793e-05,6.43205859824e-05,1.2605466356e-07,3.85905452317e-09,-3.1964700234,32.0497014004,299,1,0.00587865301106,0.000130976149887,3.29869662649e-05,9.79891836222e-05,-6.50022173573e-05,8.80462026352e-05,8.95642406117e-05,6.76914366665e-05,9.35047325918e-08,1.02784677777e-08,-2.86587003193,16.3519822615,59,0,0.00822705746792,0.000130976149887,4.14119092754e-05,6.32847132206e-05,6.76914366665e-05,0.483177382105,0.748145244052,5.62996620972e-05,0.429846671671,0.829346225357
2013-02-18,NKY,4.77171549416e-05,2.90553663501e-05,1.86617885915e-05,1.03935777585e-05,4.42955181026e-05,4.44441607808e-05,4.46225688519e-05,3.54837484189e-09,2.94483892909e-09,0.548053413792,4.67521580916,299,0,0.00143853995484,4.27122328754e-05,2.69442800497e-05,1.57679528257e-05,1.11763272241e-05,4.3408878014e-05,4.41573069453e-05,3.66891659864e-05,2.81441486486e-09,1.97514138306e-09,0.865266296627,4.6281222188,59,0,0.00310708555342,4.27122328754e-05,0,6.02306688902e-06,3.66891659864e-05,0.141015032077,0.369167139345,9.76749168027e-06,0.22868136416,1.11717772004
2013-02-19,NKY,4.26124265484e-05,2.04325403983e-05,2.21798861501e-05,-1.74734575187e-06,3.08747091557e-05,3.09783155623e-05,3.23869119706e-05,3.9146516027e-09,1.12607940285e-09,-0.0379131672829,6.46758045737,299,1,0.00191966592903,3.02012147439e-05,1.71838173002e-05,1.30173974437e-05,4.16641985649e-06,3.04029070792e-05,3.09270951323e-05,2.82197876446e-05,9.63518231691e-10,8.50925741053e-10,0.406312279864,3.16907391535,59,0,0.00210997124936,3.02012147439e-05,0,1.98142709932e-06,2.82197876446e-05,0.0656075298999,0.431022313311,5.715035868e-06,0.189231986742,1.41095074849
